brand,logo,category,name,description,image,color
SASI,https://s2.konvy.com/static/category/2021/0510/16206364148516.jpg,Eyeshadow,SASI Girls Can Be Unique Eyeshadow Palette 6g #02 Unique Orange,SASI Girls Can Be Unique Eyeshadow Palette 6g #02 Unique Orange พาเลทอายแชโดว์ 4 สี 3 เนื้อ จากศศิ พกพาง่าย โดดเด่นและเป็นตัวเองได้ทุกลุค ทั้งกลางวันและกลางคืน มีทั้งเนื้อแมท ชิมเมอร์ และเจลลี่ผสมกลิตเตอร์,https://s2.konvy.com/static/team/2022/0405/16491541985944.jpg,"[(151, 103, 82)]"
SASI,https://s2.konvy.com/static/category/2021/0510/16206364148516.jpg,Eyeshadow,SASI Girls Can Be Unique Eyeshadow Palette 6g #01 Unique Pink,SASI Girls Can Be Unique Eyeshadow Palette 6g #01 Unique Pink พาเลทอายแชโดว์ 4 สี 3 เนื้อ จากศศิ พกพาง่าย โดดเด่นและเป็นตัวเองได้ทุกลุค ทั้งกลางวันและกลางคืน มีทั้งเนื้อแมท ชิมเมอร์ และเจลลี่ผสมกลิตเตอร์,https://s2.konvy.com/static/team/2022/0405/16491541651133.jpg,"[(139, 94, 84)]"
Cathy Doll,https://s2.konvy.com/static/category/2021/0224/16141539407049.jpg,Eyeshadow,Cathy Doll Cheers Around Trio Eye Palette [2g x 3Colors] #02 Strawberry Milk,Cathy Doll Cheers Around Trio Eye Palette [2g x 3Colors] #02 Strawberry Milk ปรับลุคสนุกไป กับพาเลทอายแชโดว์ 3 เนื้อสัมผัส จากเคที่ ดอลล์ มีทั้งเนื้อแมท เพิร์ลผสมชิมเมอร์ และกลิตเตอร์ พิกเมนต์เนื้อแน่น ติดทนนาน,https://s2.konvy.com/static/team/2022/1121/16690245442153.jpg,"[(216, 148, 152)]"
4U2,https://s2.konvy.com/static/category/2021/0216/16134695842672.jpg,Eyeshadow,4U2 For You Too Eyeshadow 1.8g #06 Oh My God!,4U2 For You Too Eyeshadow 1.8g #06 Oh My God! อายแชโดว์เนื้อแมทและเนื้อเจลลี่ จากโฟร์ยูทู นุ่มลื่น บางเบา ด้วยอณูแป้ง Splendid Soft Touch มาพร้อมกลิตเตอร์รูปแบบพิเศษให้ความโปร่งแสงสูง ด้วยเทคโนโลยี Glow Glory Jewel ช่วยให้เนื้ออายแชโดว์วิ้งค์ เปล่งประกาย  เม็ดสีชัด ติดทนไม่หลุดร่วงระหว่างวัน,https://s2.konvy.com/static/team/2023/0627/16878634798208.jpg,"[(245, 219, 221), (214, 183, 222)]"
Cathy Doll,https://s2.konvy.com/static/category/2021/0224/16141539407049.jpg,Eyeshadow,Cathy Doll Cheers Around Trio Eye Palette [2g x 3Colors] #03 Hola Peach,Cathy Doll Cheers Around Trio Eye Palette [2g x 3Colors] #03 Hola Peach ปรับลุคสนุกไป กับพาเลทอายแชโดว์ 3 เนื้อสัมผัส จากเคที่ ดอลล์ มีทั้งเนื้อแมท เพิร์ลผสมชิมเมอร์ และกลิตเตอร์ พิกเมนต์เนื้อแน่น ติดทนนาน,https://s2.konvy.com/static/team/2022/1121/16690248633283.jpg,"[(202, 129, 116)]"
Laka,https://s2.konvy.com/static/category/2024/0209/17074542999380.jpg,Eyeshadow,Laka Forever 6 Eye Palette 7g #03 Prim Rose,Laka Forever 6 Eye Palette 7g #03 Prim Rose พบกับอิสรภาพทางความงามด้วยพาเลทอายแชโดว์ 6 เฉดสี ที่สามารถสร้างสรรค์ได้ตั้งแต่ Everyday look ไปจนถึง Flashy look เปิดประสบการณ์เมคอัพไร้ขีดจำกัด,https://s2.konvy.com/static/team/2024/0705/17201446164678.jpg,"[(231, 220, 221)]"
Cathy Doll,https://s2.konvy.com/static/category/2021/0224/16141539407049.jpg,Eyeshadow,Cathy Doll Cheers Around Trio Eye Palette [2g x 3Colors] #06 Cherry Bay,Cathy Doll Cheers Around Trio Eye Palette [2g x 3Colors] #06 Cherry Bay ปรับลุคสนุกไป กับพาเลทอายแชโดว์ 3 เนื้อสัมผัส จากเคที่ ดอลล์ มีทั้งเนื้อแมท เพิร์ลผสมชิมเมอร์ และกลิตเตอร์ พิกเมนต์เนื้อแน่น ติดทนนาน,https://s2.konvy.com/static/team/2022/1121/16690250367296.jpg,"[(147, 73, 81)]"
Cathy Doll,https://s2.konvy.com/static/category/2021/0224/16141539407049.jpg,Eyeshadow,Cathy Doll Cheers Around Trio Eye Palette [2g x 3Colors] #05 Sparkling Orange,Cathy Doll Cheers Around Trio Eye Palette [2g x 3Colors] #05 Sparkling Orange ปรับลุคสนุกไป กับพาเลทอายแชโดว์ 3 เนื้อสัมผัส จากเคที่ ดอลล์ มีทั้งเนื้อแมท เพิร์ลผสมชิมเมอร์ และกลิตเตอร์ พิกเมนต์เนื้อแน่น ติดทนนาน,https://s2.konvy.com/static/team/2022/1121/16690250163514.jpg,"[(202, 134, 102)]"
Cathy Doll,https://s2.konvy.com/static/category/2021/0224/16141539407049.jpg,Eyeshadow,Cathy Doll Cheers Around Trio Eye Palette [2g x 3Colors] #01 Lychee Soda,Cathy Doll Cheers Around Trio Eye Palette [2g x 3Colors] #01 Lychee Soda ปรับลุคสนุกไป กับพาเลทอายแชโดว์ 3 เนื้อสัมผัส จากเคที่ ดอลล์ มีทั้งเนื้อแมท เพิร์ลผสมชิมเมอร์ และกลิตเตอร์ พิกเมนต์เนื้อแน่น ติดทนนาน,https://s2.konvy.com/static/team/2022/1121/16690245175124.jpg,"[(224, 158, 165)]"
Cathy Doll,https://s2.konvy.com/static/category/2021/0224/16141539407049.jpg,Eyeshadow,Cathy Doll Cheers Around Trio Eye Palette [2g x 3Colors] #04 Sour Lemonade,Cathy Doll Cheers Around Trio Eye Palette [2g x 3Colors] #04 Sour Lemonade ปรับลุคสนุกไป กับพาเลทอายแชโดว์ 3 เนื้อสัมผัส จากเคที่ ดอลล์ มีทั้งเนื้อแมท เพิร์ลผสมชิมเมอร์ และกลิตเตอร์ พิกเมนต์เนื้อแน่น ติดทนนาน,https://s2.konvy.com/static/team/2022/1121/16690249163815.jpg,"[(236, 139, 110)]"
