brand,logo,category,name,description,image,color
SASI,https://s2.konvy.com/static/category/2021/0510/16206364148516.jpg,เฟซเมคอัพ,SASI Girls Can Shine Blush On 6g #S04 Sparkle Pink,SASI Girls Can Shine Blush On 6g #S04 Sparkle Pink ให้พวงแก้มสวย เล่นแสงดูมีมิติ เปล่งประกายโดดเด่นได้ไม่เหมือนใคร ด้วยบลัชออนผสมชิมเมอร์เนื้อละเอียด จากศศิ สีใช้ง่าย เบลนได้ดี ไม่กระจุกตัว ติดทนทั้งวัน,https://s2.konvy.com/static/team/2022/0405/16491556513373.jpg,"[(200, 112, 108)]"
4U2,https://s2.konvy.com/static/category/2021/0216/16134695842672.jpg,เฟซเมคอัพ,4U2 Dear Me Liquid Blush 3.7g #01 Love Yourself,4U2 Dear Me Liquid Blush 3.7g #01 Love Yourself ลิควิดบลัช จากโฟร์ยูทู เนื้อบางเบา สีชัดและติดทนนาน เบลนด์และเกลี่ยง่าย ไม่เป็นคราบ แนบสนิทไปกับผิวช่วยเพิ่มสีสันให้แก้ม เนื้อครีมฉ่ำวาวสัมผัสนุ่มลื่น เบาสบาย เนียนไปกับผิวให้ลุคที่ดูเป็นธรรมชาติ,https://s2.konvy.com/static/team/2024/0116/17053862806354.jpg,"[(214, 110, 99)]"
4U2,https://s2.konvy.com/static/category/2021/0216/16134695842672.jpg,เฟซเมคอัพ,4U2 Good Cream Blush 1.7g #09 Good Bye,4U2 Good Cream Blush 1.7g #09 Good Bye บลัชออนเนื้อครีม จากโฟร์ยูทู สัมผัสนุ่มลื่น เกลี่ยง่าย ให้ผิวชุ่มชื้นดูสุขภาพดีเป็นธรรมชาติ มอบสีชัด ติดทนนาน พร้อมผสานคุณค่าการบำรุงจากเบอร์รี่ 9 ชนิด,https://s2.konvy.com/static/team/2024/0514/17156723711630.jpg,"[(176, 50, 47)]"
2P Original,https://s2.konvy.com/static/category/2021/1201/16383344729529.jpg,เฟซเมคอัพ,2P Original Oh My Blush 4.3g #15 Shine,2P Original Oh My Blush 4.3g #15 Shine บลัชออนไร้ฝุ่น จากทูพี ออริจินอล นวัตกรรมใหม่ที่เพิ่มความพิเศษ มี 2 เนื้อสัมผัสในตลับเดียว ทั้งแมทและชิมเมอร์ เนื้อแป้งอัดแน่น เนียนละเอียด เรียบเนียนไปกับผิวหน้า ติดทนนาน สามารถทาได้ทั้งตาและแก้มโดยไม่เป็นคราบ,https://s2.konvy.com/static/team/2023/1231/17040407466270.jpg,"[(237, 196, 189)]"
4U2,https://s2.konvy.com/static/category/2021/0216/16134695842672.jpg,เฟซเมคอัพ,4U2 Dear Me Liquid Blush 3.7g #04 Don'T Rush,4U2 Dear Me Liquid Blush 3.7g #04 Don'T Rush ลิควิดบลัช จากโฟร์ยูทู เนื้อบางเบา สีชัดและติดทนนาน เบลนด์และเกลี่ยง่าย ไม่เป็นคราบ แนบสนิทไปกับผิวช่วยเพิ่มสีสันให้แก้ม เนื้อครีมฉ่ำวาวสัมผัสนุ่มลื่น เบาสบาย เนียนไปกับผิวให้ลุคที่ดูเป็นธรรมชาติ,https://s2.konvy.com/static/team/2024/0116/17053864059566.jpg,"[(188, 91, 114)]"
2P Original,https://s2.konvy.com/static/category/2021/1201/16383344729529.jpg,เฟซเมคอัพ,2P Original Oh My Blush 4.3g #13 Twinkling,2P Original Oh My Blush 4.3g #13 Twinkling บลัชออนไร้ฝุ่น จากทูพี ออริจินอล นวัตกรรมใหม่ที่เพิ่มความพิเศษ มี 2 เนื้อสัมผัสในตลับเดียว ทั้งแมทและชิมเมอร์ เนื้อแป้งอัดแน่น เนียนละเอียด เรียบเนียนไปกับผิวหน้า ติดทนนาน สามารถทาได้ทั้งตาและแก้มโดยไม่เป็นคราบ,https://s2.konvy.com/static/team/2023/1231/17040407825699.jpg,"[(239, 204, 194)]"
2P Original,https://s2.konvy.com/static/category/2021/1201/16383344729529.jpg,เฟซเมคอัพ,2P Original Oh My Blush 4.3g #07 Salmon,2P Original Oh My Blush 4.3g #07 Salmon บลัชออนไร้ฝุ่น จากทูพี ออริจินอล นวัตกรรมใหม่ที่เพิ่มความพิเศษ มี 2 เนื้อสัมผัสในตลับเดียว ทั้งแมทและชิมเมอร์ เนื้อแป้งอัดแน่น เนียนละเอียด เรียบเนียนไปกับผิวหน้า ติดทนนาน สามารถทาได้ทั้งตาและแก้มโดยไม่เป็นคราบ,https://s2.konvy.com/static/team/2023/1231/17040409321779.jpg,"[(238, 193, 174)]"
4U2,https://s2.konvy.com/static/category/2021/0216/16134695842672.jpg,เฟซเมคอัพ,4U2 Flower Blush 3.3g #03 Sakura,4U2 Flower Blush 3.3g #03 Sakura บลัชออนปัดแก้ม จากโฟร์ยูทู เนื้อนุ่มละเอียด เม็ดสีชัด ติดทนนาน เกลี่ยง่าย มีทั้งเนื้อแมทและชิมเมอร์ มอบประกายแวววาวเล่นแสง มอบสีสันให้แก้มดูสดใสตลอดทั้งวัน,https://s2.konvy.com/static/team/2023/1221/17031299559934.jpg,"[(235, 135, 140)]"
4U2,https://s2.konvy.com/static/category/2021/0216/16134695842672.jpg,เฟซเมคอัพ,4U2 Flower Blush 3.3g #01 Sweet Pea,4U2 Flower Blush 3.3g #01 Sweet Pea บลัชออนปัดแก้ม จากโฟร์ยูทู เนื้อนุ่มละเอียด เม็ดสีชัด ติดทนนาน เกลี่ยง่าย มีทั้งเนื้อแมทและชิมเมอร์ มอบประกายแวววาวเล่นแสง มอบสีสันให้แก้มดูสดใสตลอดทั้งวัน,https://s2.konvy.com/static/team/2023/1221/17031300084469.jpg,"[(230, 143, 140)]"
4U2,https://s2.konvy.com/static/category/2021/0216/16134695842672.jpg,เฟซเมคอัพ,4U2 Flower Blush 3.3g #09 Carnation,4U2 Flower Blush 3.3g #09 Carnation บลัชออนปัดแก้ม จากโฟร์ยูทู เนื้อนุ่มละเอียด เม็ดสีชัด ติดทนนาน เกลี่ยง่าย มีทั้งเนื้อแมทและชิมเมอร์ มอบประกายแวววาวเล่นแสง มอบสีสันให้แก้มดูสดใสตลอดทั้งวัน,https://s2.konvy.com/static/team/2023/1221/17031298185345.jpg,"[(205, 117, 126)]"
SASI,https://s2.konvy.com/static/category/2021/0510/16206364148516.jpg,เฟซเมคอัพ,SASI Mojo Bar Liquid Blush 5ml #03 Rose Quartz,SASI Mojo Bar Liquid Blush 5ml #03 Rose Quartz บลัชออนเนื้อลิควิด มาในรูปแบบหลอดพร้อมหัวแปรงฟองน้ำ จากศศิ ให้สีชัด ติดทนนาน มอบพวงแก้มให้มีสีสันโดดเด่น แลดูสดใส มีชีวิตชีวา,https://s2.konvy.com/static/team/2024/0530/17170389418894.jpg,"[(216, 117, 102)]"
SASI,https://s2.konvy.com/static/category/2021/0510/16206364148516.jpg,เฟซเมคอัพ,SASI Mojo Bar Liquid Blush 5ml #04 Heart & Soul,SASI Mojo Bar Liquid Blush 5ml #04 Heart & Soul บลัชออนเนื้อลิควิด มาในรูปแบบหลอดพร้อมหัวแปรงฟองน้ำ จากศศิ ให้สีชัด ติดทนนาน มอบพวงแก้มให้มีสีสันโดดเด่น แลดูสดใส มีชีวิตชีวา,https://s2.konvy.com/static/team/2024/0530/17170389622641.jpg,"[(234, 99, 157)]"
SASI,https://s2.konvy.com/static/category/2021/0510/16206364148516.jpg,เฟซเมคอัพ,SASI Mojo Bar Liquid Blush 5ml #01 Peachy-Go-Lucky,SASI Mojo Bar Liquid Blush 5ml #01 Peachy-Go-Lucky บลัชออนเนื้อลิควิด มาในรูปแบบหลอดพร้อมหัวแปรงฟองน้ำ จากศศิ ให้สีชัด ติดทนนาน มอบพวงแก้มให้มีสีสันโดดเด่น แลดูสดใส มีชีวิตชีวา,https://s2.konvy.com/static/team/2024/0530/17170388573561.jpg,"[(223, 148, 127)]"
4U2,https://s2.konvy.com/static/category/2021/0216/16134695842672.jpg,เฟซเมคอัพ,4U2 Flower Blush 3.3g #02 Dahlia,4U2 Flower Blush 3.3g #02 Dahlia บลัชออนปัดแก้ม จากโฟร์ยูทู เนื้อนุ่มละเอียด เม็ดสีชัด ติดทนนาน เกลี่ยง่าย มีทั้งเนื้อแมทและชิมเมอร์ มอบประกายแวววาวเล่นแสง มอบสีสันให้แก้มดูสดใสตลอดทั้งวัน,https://s2.konvy.com/static/team/2023/1221/17031299771398.jpg,"[(240, 129, 145)]"
Cathy Doll,https://s2.konvy.com/static/category/2021/0224/16141539407049.jpg,เฟซเมคอัพ,Cathy Doll Skin Fit Jelly Blusher 6g #01 Catch Me Pink,Cathy Doll Skin Fit Jelly Blusher 6g #01 Catch Me Pink เหนือกว่าบลัชเชอร์อัดแข็งทั่วไปด้วยเจลลี่บลัชเชอร์ จากเคที่ดอลล์ เนื้อสัมผัสเนียนนุ่มเด้งราวกับเจลลี่ บางเบา ฟิตผิวแก้มด้วยสีสันอันละมุน แต่ยังคงให้เม็ดสีชัด ติดทนนาน แต่งเติมสีสันพวงแก้มให้ดูสดใสแลดูมีชีวิตชีวาในทุกๆ วัน,https://s2.konvy.com/static/team/2022/0930/16645083243501.jpg,"[(254, 133, 132)]"
4U2,https://s2.konvy.com/static/category/2021/0216/16134695842672.jpg,เฟซเมคอัพ,4U2 Good Cream Blush 1.7g #08 Good To Go,4U2 Good Cream Blush 1.7g #08 Good To Go บลัชออนเนื้อครีม จากโฟร์ยูทู สัมผัสนุ่มลื่น เกลี่ยง่าย ให้ผิวชุ่มชื้นดูสุขภาพดีเป็นธรรมชาติ มอบสีชัด ติดทนนาน พร้อมผสานคุณค่าการบำรุงจากเบอร์รี่ 9 ชนิด,https://s2.konvy.com/static/team/2024/0514/17156723483236.jpg,"[(184, 78, 73)]"
2P Original,https://s2.konvy.com/static/category/2021/1201/16383344729529.jpg,เฟซเมคอัพ,2P Original Oh My Blush 4.3g #14 Sparkle,2P Original Oh My Blush 4.3g #14 Sparkle บลัชออนไร้ฝุ่น จากทูพี ออริจินอล นวัตกรรมใหม่ที่เพิ่มความพิเศษ มี 2 เนื้อสัมผัสในตลับเดียว ทั้งแมทและชิมเมอร์ เนื้อแป้งอัดแน่น เนียนละเอียด เรียบเนียนไปกับผิวหน้า ติดทนนาน สามารถทาได้ทั้งตาและแก้มโดยไม่เป็นคราบ,https://s2.konvy.com/static/team/2023/1231/17040407614981.jpg,"[(234, 188, 180)]"
Laka,https://s2.konvy.com/static/category/2024/0209/17074542999380.jpg,เฟซเมคอัพ,Laka Love Silk Blush 5.2g #705 Angel,Laka Love Silk Blush 5.2g #705 Angel บลัชออนแบบฝุ่นเนื้อนุ่มบางเบา จากลากะ ด้วยเทคโนโลยี Triple-radiance Tech ที่ให้เนื้อพิกเมนท์ที่ชัดเจน และมีความวาวละเอียด เผยผิวให้ลุคธรรมชาติ,https://s2.konvy.com/static/team/2024/0208/17073737698124.jpg,"[(214, 136, 130)]"
