brand,logo,category,name,description,image,color
2P Original,https://s2.konvy.com/static/category/2021/1201/16383344729529.jpg,Lips,2P Original Oh My Matte Cloud 2.2ml #02,2P Original Oh My Matte Cloud 2.2ml #02 นวัตกรรมใหม่ล่าสุดจากทูพี ออริจินอลกับลิปเนื้อเมฆ เบาสบาย ไม่ติดมาสก์ ลิปแมทเนื้อบางเบา ทาแล้วนุ่มสบายปาก ให้สัมผัสเรียบเนียน ไม่เป็นคราบ ไม่ตกร่อง ติดทนยาวนาน ฟินิชลุคแมทไม่ทำให้ปากแห้ง,https://s2.konvy.com/static/team/2023/0215/16764487398333.jpg,"[(218, 107, 81)]"
Cathy Doll,https://s2.konvy.com/static/category/2021/0224/16141539407049.jpg,Lips,Cathy Doll Filler Lip Booster 3.3g #03 Peachella,Cathy Doll Filler Lip Booster 3.3g #03 Peachella ลิปเนื้อมอยส์สีฉ่ำวาว จากเคที่ ดอลล์ มอบริมฝีปากเต่งตึง อิ่มฟู ด้วยนวัตกรรมเอนแคปซูเลชั่น โมเลกุลน้ำที่แตกตัวเป็นออยล์ จะเคลือบริมฝีปากเหมือนฟิล์มบางๆ เมื่อเนื้อลิปซึมลงผิว สีลิปจะยิ่งมีความละมุน อิ่มน้ำ ฉ่ำวาวยาวนาน,https://s2.konvy.com/static/team/2024/0318/17107546638613.jpg,"[(228, 112, 120)]"
Cathy Doll,https://s2.konvy.com/static/category/2021/0224/16141539407049.jpg,Lips,Cathy Doll Filler Lip Booster 3.3g #11 Queendom,Cathy Doll Filler Lip Booster 3.3g #11 Queendom ลิปเนื้อมอยส์สีฉ่ำวาว จากเคที่ ดอลล์ มอบริมฝีปากเต่งตึง อิ่มฟู ด้วยนวัตกรรมเอนแคปซูเลชั่น โมเลกุลน้ำที่แตกตัวเป็นออยล์ จะเคลือบริมฝีปากเหมือนฟิล์มบางๆ เมื่อเนื้อลิปซึมลงผิว สีลิปจะยิ่งมีความละมุน อิ่มน้ำ ฉ่ำวาวยาวนาน,https://s2.konvy.com/static/team/2024/0318/17107552128983.jpg,"[(164, 46, 70)]"
Cathy Doll,https://s2.konvy.com/static/category/2021/0224/16141539407049.jpg,Lips,Cathy Doll Filler Lip Booster 3.3g #08 Less Sugar,Cathy Doll Filler Lip Booster 3.3g #08 Less Sugar ลิปเนื้อมอยส์สีฉ่ำวาว จากเคที่ ดอลล์ มอบริมฝีปากเต่งตึง อิ่มฟู ด้วยนวัตกรรมเอนแคปซูเลชั่น โมเลกุลน้ำที่แตกตัวเป็นออยล์ จะเคลือบริมฝีปากเหมือนฟิล์มบางๆ เมื่อเนื้อลิปซึมลงผิว สีลิปจะยิ่งมีความละมุน อิ่มน้ำ ฉ่ำวาวยาวนาน,https://s2.konvy.com/static/team/2024/0318/17107550966314.jpg,"[(154, 53, 41)]"
SASI,https://s2.konvy.com/static/category/2021/0510/16206364148516.jpg,Lips,SASI Peace & Love Watery Lip Tint 5g #01 Red JingJai,SASI Peace & Love Watery Lip Tint 5g #01 Red JingJai ลิปทินท์เนื้อน้ำโปร่งแสง จากศศิ ให้สีชัดละมุน สัมผัสเบาสบาย แห้งไว สีแน่นติดทนนาน ไม่เลอะมาสก์ ช่วยบำรุงริมฝีปากให้ชุ่มชื้น มอบริมฝีปากให้ที่สดใส แลดูกระจ่างใสมากขึ้น,https://s2.konvy.com/static/team/2024/0806/17229390368201.jpg,"[(227, 13, 51)]"
SASI,https://s2.konvy.com/static/category/2021/0510/16206364148516.jpg,Lips,SASI Peace & Love Watery Lip Tint 5g #02 Joy Red,SASI Peace & Love Watery Lip Tint 5g #02 Joy Red ลิปทินท์เนื้อน้ำโปร่งแสง จากศศิ ให้สีชัดละมุน สัมผัสเบาสบาย แห้งไว สีแน่นติดทนนาน ไม่เลอะมาสก์ ช่วยบำรุงริมฝีปากให้ชุ่มชื้น มอบริมฝีปากให้ที่สดใส แลดูกระจ่างใสมากขึ้น,https://s2.konvy.com/static/team/2024/0806/17229390057111.jpg,"[(235, 65, 92)]"
SASI,https://s2.konvy.com/static/category/2021/0510/16206364148516.jpg,Lips,SASI Peace & Love Watery Lip Tint 5g #03 JiwJeed Red,SASI Peace & Love Watery Lip Tint 5g #03 JiwJeed Red ลิปทินท์เนื้อน้ำโปร่งแสง จากศศิ ให้สีชัดละมุน สัมผัสเบาสบาย แห้งไว สีแน่นติดทนนาน ไม่เลอะมาสก์ ช่วยบำรุงริมฝีปากให้ชุ่มชื้น มอบริมฝีปากให้ที่สดใส แลดูกระจ่างใสมากขึ้น,https://s2.konvy.com/static/team/2024/0806/17229389706859.jpg,"[(216, 9, 27)]"
SASI,https://s2.konvy.com/static/category/2021/0510/16206364148516.jpg,Lips,SASI Peace & Love Watery Lip Tint 5g #11 Chompoo Kae,SASI Peace & Love Watery Lip Tint 5g #11 Chompoo Kae ลิปทินท์เนื้อน้ำโปร่งแสง จากศศิ ให้สีชัดละมุน สัมผัสเบาสบาย แห้งไว สีแน่นติดทนนาน ไม่เลอะมาสก์ ช่วยบำรุงริมฝีปากให้ชุ่มชื้น มอบริมฝีปากให้ที่สดใส แลดูกระจ่างใสมากขึ้น,https://s2.konvy.com/static/team/2024/0806/17229387055787.jpg,"[(246, 26, 96)]"
SASI,https://s2.konvy.com/static/category/2021/0510/16206364148516.jpg,Lips,SASI Peace & Love Watery Lip Tint 5g #05 Peach Der,SASI Peace & Love Watery Lip Tint 5g #05 Peach Der ลิปทินท์เนื้อน้ำโปร่งแสง จากศศิ ให้สีชัดละมุน สัมผัสเบาสบาย แห้งไว สีแน่นติดทนนาน ไม่เลอะมาสก์ ช่วยบำรุงริมฝีปากให้ชุ่มชื้น มอบริมฝีปากให้ที่สดใส แลดูกระจ่างใสมากขึ้น,https://s2.konvy.com/static/team/2024/0806/17229388707484.jpg,"[(255, 90, 97)]"
SASI,https://s2.konvy.com/static/category/2021/0510/16206364148516.jpg,Lips,SASI Peace & Love Watery Lip Tint 5g #06 Som Zap,SASI Peace & Love Watery Lip Tint 5g #06 Som Zap ลิปทินท์เนื้อน้ำโปร่งแสง จากศศิ ให้สีชัดละมุน สัมผัสเบาสบาย แห้งไว สีแน่นติดทนนาน ไม่เลอะมาสก์ ช่วยบำรุงริมฝีปากให้ชุ่มชื้น มอบริมฝีปากให้ที่สดใส แลดูกระจ่างใสมากขึ้น,https://s2.konvy.com/static/team/2024/0806/17229388442015.jpg,"[(255, 55, 55)]"
SASI,https://s2.konvy.com/static/category/2021/0510/16206364148516.jpg,Lips,SASI Peace & Love Watery Lip Tint 5g #10 OoHoo Pink,SASI Peace & Love Watery Lip Tint 5g #10 OoHoo Pink ลิปทินท์เนื้อน้ำโปร่งแสง จากศศิ ให้สีชัดละมุน สัมผัสเบาสบาย แห้งไว สีแน่นติดทนนาน ไม่เลอะมาสก์ ช่วยบำรุงริมฝีปากให้ชุ่มชื้น มอบริมฝีปากให้ที่สดใส แลดูกระจ่างใสมากขึ้น,https://s2.konvy.com/static/team/2024/0806/17229387251784.jpg,"[(255, 37, 91)]"
4U2,https://s2.konvy.com/static/category/2021/0216/16134695842672.jpg,Lips,4U2 Serum Tint Oil 3g #10 Classic Again,4U2 Serum Tint Oil 3g #10 Classic Again ลิปทินท์เนื้อฉ่ำวาว จากโฟร์ยูทู เติมสีสันให้เรียวปากสวยดูสุขภาพดี เนื้อบางเบา ด้วยสูตรพิเศษ Infuse Liquid Oil มอบความชุ่มชื้นฉ่ำวาวมีมิติ,https://s2.konvy.com/static/team/2023/0825/16929565008316.jpg,"[(195, 114, 128)]"
4U2,https://s2.konvy.com/static/category/2021/0216/16134695842672.jpg,Lips,4U2 Serum Tint Oil 3g #08 Dewy Mode,4U2 Serum Tint Oil 3g #08 Dewy Mode ลิปทินท์เนื้อฉ่ำวาว จากโฟร์ยูทู เติมสีสันให้เรียวปากสวยดูสุขภาพดี เนื้อบางเบา ด้วยสูตรพิเศษ Infuse Liquid Oil มอบความชุ่มชื้นฉ่ำวาวมีมิติ,https://s2.konvy.com/static/team/2023/1231/17040402543713.jpg,"[(244, 147, 172)]"
4U2,https://s2.konvy.com/static/category/2021/0216/16134695842672.jpg,Lips,4U2 Serum Tint Oil 3g #03 Juicy Marmalade,4U2 Serum Tint Oil 3g #03 Juicy Marmalade ลิปทินท์เนื้อฉ่ำวาว จากโฟร์ยูทู เติมสีสันให้เรียวปากสวยดูสุขภาพดี เนื้อบางเบา ด้วยสูตรพิเศษ Infuse Liquid Oil มอบความชุ่มชื้นฉ่ำวาวมีมิติ,https://s2.konvy.com/static/team/2023/1231/17040403555741.jpg,"[(233, 104, 109)]"
Cathy Doll,https://s2.konvy.com/static/category/2021/0224/16141539407049.jpg,Lips,Cathy Doll Filler Lip Booster 3.3g #12 I'm Here,Cathy Doll Filler Lip Booster 3.3g #12 I'm Here ลิปเนื้อมอยส์สีฉ่ำวาว จากเคที่ ดอลล์ มอบริมฝีปากเต่งตึง อิ่มฟู ด้วยนวัตกรรมเอนแคปซูเลชั่น โมเลกุลน้ำที่แตกตัวเป็นออยล์ จะเคลือบริมฝีปากเหมือนฟิล์มบางๆ เมื่อเนื้อลิปซึมลงผิว สีลิปจะยิ่งมีความละมุน อิ่มน้ำ ฉ่ำวาวยาวนาน,https://s2.konvy.com/static/team/2024/0318/17107552407420.jpg,"[(214, 37, 55)]"
Cathy Doll,https://s2.konvy.com/static/category/2021/0224/16141539407049.jpg,Lips,Cathy Doll Trio Color Serum 15ml #01 Healthy Rose,Cathy Doll Trio Color Serum 15ml #01 Healthy Rose เนรมิตผิวดูมีเลือดฝาดสุขภาพดีด้วยผลิตภัณฑ์ตกแต่งตา แก้ม และปาก จากเคที่ ดอลล์ มาพร้อมนวัตกรรม HAC Innovation ช่วยกักเก็บน้ำและเติมความชุ่มชื้นให้กับผิว เนื้อเซรั่มบางเบา เกลี่ยง่าย สัมผัสนุ่มละมุน มีสีสันสดใสเป็นธรรมชาติ ติดทนนาน,https://s2.konvy.com/static/team/2023/0726/16903430492948.jpg,"[(232, 73, 75)]"
Cathy Doll,https://s2.konvy.com/static/category/2021/0224/16141539407049.jpg,Lips,Cathy Doll Hyaluron Lip Moist 3.9g #08 Be Brown,Cathy Doll Hyaluron Lip Moist 3.9g #08 Be Brown ปากฉ่ำวาวด้วยพลังไฮยาลูรอนกับลิปมอยส์ จากเคที่ดอลล์ ที่มาพร้อมคุณสมบัติของไฮยาลูรอนเข้มข้นถึง 1000 มิลลิกรัม บูสต์ริมฝีปากให้ดูอวบอิ่ม เปล่งปลั่ง เนียนนุ่มน่าสัมผัส,https://s2.konvy.com/static/team/2022/0704/16569178166179.jpg,[]
Cathy Doll,https://s2.konvy.com/static/category/2021/0224/16141539407049.jpg,Lips,Cathy Doll Filler Lip Booster 3.3g #05 Less Is More,Cathy Doll Filler Lip Booster 3.3g #05 Less Is More ลิปเนื้อมอยส์สีฉ่ำวาว จากเคที่ ดอลล์ มอบริมฝีปากเต่งตึง อิ่มฟู ด้วยนวัตกรรมเอนแคปซูเลชั่น โมเลกุลน้ำที่แตกตัวเป็นออยล์ จะเคลือบริมฝีปากเหมือนฟิล์มบางๆ เมื่อเนื้อลิปซึมลงผิว สีลิปจะยิ่งมีความละมุน อิ่มน้ำ ฉ่ำวาวยาวนาน,https://s2.konvy.com/static/team/2024/0318/17107549121993.jpg,"[(232, 139, 114)]"
Cathy Doll,https://s2.konvy.com/static/category/2021/0224/16141539407049.jpg,Lips,Cathy Doll Filler Lip Booster 3.3g #04 Sunny Day,Cathy Doll Filler Lip Booster 3.3g #04 Sunny Day ลิปเนื้อมอยส์สีฉ่ำวาว จากเคที่ ดอลล์ มอบริมฝีปากเต่งตึง อิ่มฟู ด้วยนวัตกรรมเอนแคปซูเลชั่น โมเลกุลน้ำที่แตกตัวเป็นออยล์ จะเคลือบริมฝีปากเหมือนฟิล์มบางๆ เมื่อเนื้อลิปซึมลงผิว สีลิปจะยิ่งมีความละมุน อิ่มน้ำ ฉ่ำวาวยาวนาน,https://s2.konvy.com/static/team/2024/0318/17107548457684.jpg,"[(220, 97, 66)]"
Cathy Doll,https://s2.konvy.com/static/category/2021/0224/16141539407049.jpg,Lips,Cathy Doll Filler Lip Booster 3.3g #07 Vintage Vibe,Cathy Doll Filler Lip Booster 3.3g #07 Vintage Vibe ลิปเนื้อมอยส์สีฉ่ำวาว จากเคที่ ดอลล์ มอบริมฝีปากเต่งตึง อิ่มฟู ด้วยนวัตกรรมเอนแคปซูเลชั่น โมเลกุลน้ำที่แตกตัวเป็นออยล์ จะเคลือบริมฝีปากเหมือนฟิล์มบางๆ เมื่อเนื้อลิปซึมลงผิว สีลิปจะยิ่งมีความละมุน อิ่มน้ำ ฉ่ำวาวยาวนาน,https://s2.konvy.com/static/team/2024/0318/17107550009533.jpg,"[(166, 59, 15)]"
Cathy Doll,https://s2.konvy.com/static/category/2021/0224/16141539407049.jpg,Lips,Cathy Doll Trio Color Serum 15ml #03 Freshy Peach,Cathy Doll Trio Color Serum 15ml #03 Freshy Peach เนรมิตผิวดูมีเลือดฝาดสุขภาพดีด้วยผลิตภัณฑ์ตกแต่งตา แก้ม และปาก จากเคที่ ดอลล์ มาพร้อมนวัตกรรม HAC Innovation ช่วยกักเก็บน้ำและเติมความชุ่มชื้นให้กับผิว เนื้อเซรั่มบางเบา เกลี่ยง่าย สัมผัสนุ่มละมุน มีสีสันสดใสเป็นธรรมชาติ ติดทนนาน,https://s2.konvy.com/static/team/2023/0726/16903430862359.jpg,"[(251, 131, 81)]"
Laka,https://s2.konvy.com/static/category/2024/0209/17074542999380.jpg,Lips,Laka Fruity Glam Tint 4.5g #113 Pleasure,Laka Fruity Glam Tint 4.5g #113 Pleasure ลิปทินท์โกลว์ จากลากะ ที่ให้ความประกายแวววาว พร้อมสีสดฉ่ำวาว มอบความชุ่มชื้นบางเบา และอุดมด้วยวิตามินบำรุงทำให้ริมฝีปากเนียนนุ่มขึ้น,https://s2.konvy.com/static/team/2024/0208/17073743123732.jpg,"[(191, 76, 108)]"
